nom_entreprise;adresse;ville;telephone;telephone_type;site_web;nom_dirigeant;confiance_dirigeant;taille_estimee;horaires_ouverture;creneaux_non_couverts;plainte_telephonique;citation_plainte_telephone;score;categorie_priorite;raison_commerciale;grappe;secteur
Beauty Spa;15 Cr Pierre Herbin, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;09 80 85 25 47;fixe;https://beautyspalagny.com/;Jasmine Shiuan-ting Hsu;officielle;petite PME (probable);lundi: 09:30 – 17:30 | mardi: 09:00 – 19:00 | mercredi: 10:00 – 14:00 | jeudi: 09:00 – 17:00 | vendredi: 09:30 – 19:00 | samedi: 09:00 – 19:00 | dimanche: Fermé;Fermé dimanche;oui;impossible de l'utiliser : le spa a fermé en début d'année. Comme indiqué sur le bon, j'ai tenté à plusieurs reprises de les joindre par téléphone (sans succès pendant des mois) et j'ai également envoyé plusieurs mails qui sont restés sans réponse.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec gestion critique des appels (clients injoignables pendant mois, téléphone perturbant les séances) et réservations via cartes cadeau/Groupon ; Qalm AI résoudrait l'injoignabilité chronique et filtrerait les appels pour préserver l'expérience client. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (114) | Décideur identifié (Jasmine Shiuan-ting Hsu) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
Silhouette & Bien Être;12 All. des Cinq Noyers, 77410 Annet-sur-Marne, France;Lagny-sur-Marne 77400;01 60 26 20 87;fixe;http://silhouetteetbienetre.fr/;Laurent Tassel;officielle;TPE;lundi: Fermé | mardi: 10:00 – 19:00 | mercredi: 10:00 – 20:00 | jeudi: 10:00 – 18:00 | vendredi: 09:00 – 20:00 | samedi: 09:00 – 18:00 | dimanche: Fermé;Fermé dimanche;oui;Un acceuil et un départ compliqué car personne ne reste vraiment à l'acceuil pour accueillir ou lors de notre départ.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut indépendant avec forte activité de réservations (Wonderbox, Smartbox) et gestion d'accueil défaillante ; Qalm AI optimiserait la prise d'appels 24/7, les réservations de prestations et éliminerait les absences à l'accueil signalées par les clients. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (239) | Décideur identifié (Laurent Tassel) | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
Ley'Beauty;4 All. Jean Paul Sartre, 77186 Noisiel, France;Lagny-sur-Marne 77400;09 52 21 29 96;fixe;https://www.ley-beauty.fr/;Christelle;haute (certifiée avis);petite PME (probable);lundi: Fermé | mardi: 10:00 – 18:00 | mercredi: 10:00 – 18:00 | jeudi: 10:00 – 18:00 | vendredi: 10:00 – 18:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;Je les ai même appelés et ils n'ont pas répondu.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec gestion mixte (services + relais colis) souffrant d'une mauvaise joignabilité téléphonique et d'horaires limités ; Qalm AI automatiserait les appels de réservation, qualification des demandes et gestion des horaires 24/7 pour améliorer la satisfaction client et réduire les appels manqués. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Christelle) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé week-end)";Beauté;institut de beauté, spa, massage
Kisha Coiffure institut de beauté;22 Av. Jean Jaurès, 77177 Brou-sur-Chantereine, France;Lagny-sur-Marne 77400;09 87 50 52 97;fixe;http://bit.ly/ZS7XIc;Kisha;haute (certifiée avis);petite PME (probable);lundi: 10:00 – 19:00 | mardi: 10:00 – 19:00 | mercredi: 10:00 – 19:00 | jeudi: 10:00 – 19:00 | vendredi: 10:00 – 19:00 | samedi: 10:00 – 19:00 | dimanche: Fermé;Fermé dimanche;oui;toujours au téléphone et on en ressort avec des douleurs et brûlures;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec gestion manuelle des appels et réservations ; la patronne absorbée par les appels pendant les prestations crée une mauvaise expérience client et perte de chiffre d'affaires, Qalm AI automatiserait les prises de rendez-vous 24/7 et améliorerait la qualité de service. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (100) | Décideur identifié (Kisha) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
CARROSSERIE TORCY;1 Rue des Coutures, 77200 Torcy, France;Lagny-sur-Marne 77400;01 71 58 71 53;fixe;https://www.carrosserietorcy.fr/;Yassine Rehab (rehab);officielle;TPE;lundi: 08:30 – 18:30 | mardi: 08:30 – 18:30 | mercredi: 08:30 – 18:30 | jeudi: 08:30 – 18:30 | vendredi: 08:30 – 18:30 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;Et la ferme volonté de régler très vite leurs petits problèmes en matière d'échanges téléphoniques.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Carrosserie indépendante avec forte demande de rendez-vous et gestion d'appels urgents (interventions sans RDV) ; besoin avéré de standard IA pour qualifier les demandes, gérer les réservations et améliorer la joignabilité téléphonique reconnue comme point faible. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Décideur identifié (Yassine Rehab (rehab)) | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
Mécanique et Performance;2 Rue de la Noue Guimante batiment 3, 77400 Saint-Thibault-des-Vignes, France;Lagny-sur-Marne 77400;01 64 30 69 18;fixe;;Mathieu Pascal Marcel Van Lancker (van Lancker);officielle;TPE;lundi: 09:00 – 12:30, 14:00 – 18:30 | mardi: 09:00 – 12:30, 14:00 – 18:30 | mercredi: 09:00 – 12:30, 14:00 – 18:30 | jeudi: 09:00 – 12:30, 14:00 – 18:30 | vendredi: 09:00 – 12:30, 14:00 – 18:30 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;on devait me rappeler, j'attends toujours, pas de RDV abandon complet;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant avec forte activité de réservations et prises de RDV ; la plainte client sur absence de rappel et gestion défaillante des appels révèle un besoin critique d'un standard IA 24/7 pour qualifier et confirmer les demandes, réduire les abandons de clients et améliorer la relation téléphonique. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Décideur identifié (Mathieu Pascal Marcel Van Lancker (van Lancker)) | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
Option sport automobile;Sur rdv uniquement, 77410 Villevaudé, France;Lagny-sur-Marne 77400;07 62 95 82 81;mobile;https://www.applivoiture.fr/garages/villevaude-77410/option-sport-automobile;Corinne Payet;officielle;TPE;Horaires non communiqués;Horaires non communiqués;oui;toujours dans l'attente que Mr Stephanidis Alexandre me rappel;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Mandataire automobile indépendant avec gestion de réservations et demandes clients critiques ; Qalm AI pourrait automatiser les rappels et qualification des demandes pour restaurer la confiance client gravement endommagée par des défauts de suivi téléphonique. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Ligne mobile → décideur joignable en direct | Décideur identifié (Corinne Payet) | Créneaux critiques (Horaires non communiqués)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
Auto en direct;12 C Rue de Montry, 77700 Chessy, France;Lagny-sur-Marne 77400;09 80 85 81 78;fixe;https://autoendirect.net/;Anis Dkhir (dkhir);officielle;TPE (probable);lundi: 09:30 – 12:00, 14:00 – 19:00 | mardi: 09:30 – 12:00, 14:00 – 19:00 | mercredi: 09:30 – 12:00, 14:00 – 19:00 | jeudi: 09:30 – 12:00, 14:00 – 19:00 | vendredi: 09:00 – 12:00, 14:00 – 19:00 | samedi: 09:00 – 16:00 | dimanche: Fermé;Fermé dimanche;oui;Il devait me prévenir sitôt les pièces arrivés mais il ne m'a jamais recontacté.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant avec flux d'appels réguliers (réservations, devis, suivi de réparations) ; la plainte client sur le manque de relance téléphonique et la gestion des disponibilités justifie un standard IA 24/7 pour capturer tous les appels et automatiser les rappels de pièces. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Décideur identifié (Anis Dkhir (dkhir)) | Créneaux critiques (Fermé dimanche)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
Creapaysage;14 Rue de Platry, 77450 Jablines, France;Lagny-sur-Marne 77400;01 64 17 84 07;fixe;https://paysagistes.nosavis.com/paysagiste/seine+et+marne-77/lagny+sur+marne-77400/;Jeremy Lemoine (lemoine);officielle;petite PME;lundi: 08:00 – 17:00 | mardi: 08:00 – 17:00 | mercredi: 08:00 – 17:00 | jeudi: 08:00 – 17:00 | vendredi: 08:00 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;Société muette ne répond pas au message téléphonique,ni aux mails . Sérieuse ?;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Paysagiste indépendant avec problème critique de joignabilité téléphonique et gestion administrative (avis clients mentionnent absence de réponse et suivi défaillant) ; Qalm AI automatiserait la prise d'appels, les devis et le suivi client 24/7 pour restaurer la confiance et capturer les demandes perdues. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Décideur identifié (Jeremy Lemoine (lemoine)) | PME structurée (10-19) → budget solvable | Créneaux critiques (Fermé week-end)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Pierre Lamberty Paysagiste;14 Chemin des clos St péres, 77400 Saint-Thibault-des-Vignes, France;Lagny-sur-Marne 77400;06 58 62 80 36;mobile;https://lamberty.fr/;Pierre Lamberty;haute (certifiée avis);TPE (probable);lundi: 08:00 – 20:00 | mardi: 08:00 – 20:00 | mercredi: 08:00 – 20:00 | jeudi: 08:00 – 20:00 | vendredi: 08:00 – 20:00 | samedi: 08:00 – 20:00 | dimanche: 08:00 – 20:00;Horaires continus / larges;oui;Il ne répondait plus. Ni aux messages téléphoniques ni par mail.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Paysagiste indépendant avec forte réputation (4/5 avis positifs) mais problème critique de joignabilité téléphonique et gestion administrative ayant causé une perte client ; Qalm AI automatiserait la prise d'appels, réservations et relances pour éviter ces défaillances. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Ligne mobile → décideur joignable en direct | Décideur identifié (Pierre Lamberty)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
DUSINE;2 All. du Clos des Charmes, 77090 Collégien, France;Lagny-sur-Marne 77400;01 80 62 06 20;fixe;http://dusine.fr/;Emil Kopiec;officielle;TPE;lundi: Fermé | mardi: 11:00 – 19:00 | mercredi: 11:00 – 19:00 | jeudi: 11:00 – 19:00 | vendredi: 11:00 – 19:00 | samedi: 11:00 – 19:00 | dimanche: Fermé;Fermé dimanche;oui;Après quatre appels, on m'a systématiquement assuré qu'un conseiller me rappellerait, mais je n'ai jamais reçu le moindre appel.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME indépendante multi-secteurs (meubles, cuisines, électroménager) avec volume de clients significatif et défaillance critique de gestion des appels entrants et rappels ; Qalm AI résoudrait les promesses de rappel non tenues et améliorerait la réactivité du service client. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Gros volume d'avis (837) → fort trafic d'appels | Décideur identifié (Emil Kopiec) | Créneaux critiques (Fermé dimanche)";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
Réception le Céleste – Salle de réception à Thorigny-sur-Marne;16 Rue Louis Martin, 77400 Thorigny-sur-Marne, France;Lagny-sur-Marne 77400;07 83 00 66 53;mobile;https://lecelestereception.fr/;;;petite PME (probable);lundi: 10:00 – 19:00 | mardi: 10:00 – 19:00 | mercredi: 10:00 – 19:00 | jeudi: 10:00 – 19:00 | vendredi: 10:00 – 23:00 | samedi: 10:00 – 23:00 | dimanche: 10:00 – 19:00;Horaires continus / larges;oui;Le patron de la salle pas du tout professionnel répond à aucun appel mais pour le lendemain de la fête se permet d'appeler et nous dire que c'était dans un état catastrophique;86;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Salle de réception indépendante avec fort volume de réservations et événements ; le propriétaire est actuellement injoignable pendant les périodes critiques, créant une perte commerciale majeure et une mauvaise expérience client que Qalm AI pourrait résoudre en gérant 24/7 les appels et réservations. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
MAXIMUM SERVICE AUTO;9 Rue Léon Bloy, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;07 44 70 44 91;mobile;https://www.bottin.fr/annuaire/garage-automobile-a-lagny-sur-marne-77243.htm;Marin Rusu;officielle;petite PME (probable);lundi: 09:00 – 12:00, 13:00 – 19:00 | mardi: 09:00 – 12:00, 13:00 – 19:00 | mercredi: 09:00 – 12:00, 13:00 – 19:00 | jeudi: 09:00 – 12:00, 13:00 – 19:00 | vendredi: 09:00 – 12:00, 13:00 – 19:00 | samedi: 09:00 – 12:00, 13:00 – 17:00 | dimanche: Fermé;Fermé dimanche;oui;Très difficile à joindre, fermé malgré les jours d'ouverture affichés;86;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant avec fort volume d'appels (réservations, devis, diagnostics) et problème critique de joignabilité client ; Qalm AI automatiserait la prise d'appels 24/7 et les réservations pour restaurer la confiance commerciale malgré la réputation endommagée. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Ligne mobile → décideur joignable en direct | Décideur identifié (Marin Rusu) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
AUTOVISION BUSSY ST GEORGES;19 Av. Graham Bell, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 60 26 14 31;fixe;https://controletechnique-bussy77.fr/;;;petite PME (probable);lundi: 08:30 – 12:00, 13:30 – 18:00 | mardi: 08:30 – 12:00, 13:30 – 18:00 | mercredi: 08:30 – 12:00, 13:30 – 18:00 | jeudi: 08:30 – 12:00, 13:30 – 18:00 | vendredi: 08:30 – 12:00, 13:30 – 18:00 | samedi: 08:30 – 12:30, 13:30 – 16:30 | dimanche: Fermé;Fermé dimanche;oui;Excellent service de l'accueil téléphonique au passage de mon véhicule.;86;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Centre automobile indépendant avec forte activité (contrôle technique, carrosserie, lavage) générant un volume d'appels important pour réservations et devis ; gestion 24/7 des appels critiques pour éviter les pertes de clients et améliorer la qualification des demandes. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Volume d'avis solide (184) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
VI EQUIPEMENT;1-3 Imp. Dorothée Le Maître, 77700 Serris, France;Lagny-sur-Marne 77400;01 48 33 10 10;fixe;http://www.viequipement.com/;;;TPE;lundi: 09:30 – 13:00, 14:00 – 18:00 | mardi: 09:30 – 13:00, 14:00 – 18:00 | mercredi: 09:30 – 13:00, 14:00 – 18:00 | jeudi: 09:30 – 13:00, 14:00 – 18:00 | vendredi: 09:30 – 13:00, 14:00 – 18:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;rappel tous les mois, toujours « on vous rappelle,je peux vous rien répondre, » mais il vous rappelle jamais;86;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME indépendante (meubles/équipement) avec volume de commandes important mais gestion téléphonique défaillante (clients non rappelés, SAV absent) ; Qalm AI automatiserait la prise d'appels, les relances et la qualification des demandes pour restaurer la crédibilité commerciale. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Créneaux critiques (Fermé week-end)";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
